WorkItemID,ProjectID,WorkItemCode,WorkItemName,WorkItemCategory,WorkItemType,PlannedStartDate,PlannedFinishDate,Quantity,UnitOfMeasure,Priority,CurrentStatusID
WIT-000014,PRJ-005,PRJ-005-ITEM-000014,Leverage Transparent Models Package,Electrical,Milestone,2025-08-05,2025-08-17,446.67,hr,High,STS-002
WIT-000015,PRJ-001,PRJ-001-ITEM-000015,Architect Wireless Markets Package,Interior,Package,2026-03-07,2026-07-01,389.41,m2,Critical,STS-003
WIT-000016,PRJ-002,PRJ-002-ITEM-000016,Synergize Clicks-And-Mortar Architectures Package,Exterior,Task,2025-12-13,2026-03-15,233.89,m3,Low,STS-002
WIT-000017,PRJ-003,PRJ-003-ITEM-000017,Re-Contextualize Ubiquitous Technologies Package,Safety,Inspection,2025-11-12,2025-12-09,22.86,ea,Medium,STS-004
WIT-000018,PRJ-004,PRJ-004-ITEM-000018,Scale Holistic Eyeballs Package,Structure,Milestone,2026-03-31,2026-06-06,341.84,lot,High,STS-002
WIT-000019,PRJ-005,PRJ-005-ITEM-000019,Envisioneer Killer Markets Package,Mechanical,Package,2025-06-30,2025-07-22,372.64,hr,Critical,STS-004
WIT-000020,PRJ-001,PRJ-001-ITEM-000020,Extend Leading-Edge Vortals Package,Electrical,Task,2026-04-14,2026-05-31,163.59,m2,Low,STS-003
WIT-000021,PRJ-002,PRJ-002-ITEM-000021,Streamline Compelling Mindshare Package,Interior,Inspection,2025-11-02,2026-02-26,185.86,m3,Medium,STS-006
WIT-000022,PRJ-003,PRJ-003-ITEM-000022,Leverage Leading-Edge Mindshare Package,Exterior,Milestone,2026-02-24,2026-03-09,95.55,ea,High,STS-003
WIT-000023,PRJ-004,PRJ-004-ITEM-000023,Iterate Viral Partnerships Package,Safety,Package,2025-11-18,2026-01-15,65.83,lot,Critical,STS-005
WIT-000024,PRJ-005,PRJ-005-ITEM-000024,Optimize Web-Enabled Interfaces Package,Structure,Task,2026-05-11,2026-08-02,114.23,hr,Low,STS-003
WIT-000025,PRJ-001,PRJ-001-ITEM-000025,Matrix Interactive Applications Package,Mechanical,Inspection,2025-10-18,2025-12-16,335.24,m2,Medium,STS-006
WIT-000026,PRJ-002,PRJ-002-ITEM-000026,Re-Intermediate Strategic E-Markets Package,Electrical,Milestone,2025-10-26,2026-02-16,416.51,m3,High,STS-004
WIT-000027,PRJ-003,PRJ-003-ITEM-000027,Benchmark Turn-Key Portals Package,Interior,Package,2026-04-14,2026-06-08,350.43,ea,Critical,STS-003
WIT-000028,PRJ-004,PRJ-004-ITEM-000028,Repurpose Turn-Key Action-Items Package,Exterior,Task,2026-01-05,2026-01-21,416.3,lot,Low,STS-007
WIT-000029,PRJ-005,PRJ-005-ITEM-000029,Strategize End-To-End Web Services Package,Safety,Inspection,2025-08-28,2025-10-07,402.58,hr,Medium,STS-004
WIT-000030,PRJ-001,PRJ-001-ITEM-000030,Monetize Ubiquitous Vortals Package,Structure,Milestone,2026-05-10,2026-08-19,144.88,m2,High,STS-004
WIT-000031,PRJ-002,PRJ-002-ITEM-000031,Implement Ubiquitous E-Business Package,Mechanical,Package,2025-11-08,2025-12-27,341.57,m3,Critical,STS-004
WIT-000032,PRJ-003,PRJ-003-ITEM-000032,Transform Intuitive Users Package,Electrical,Task,2026-03-08,2026-05-25,100.75,ea,Low,STS-005
WIT-000033,PRJ-004,PRJ-004-ITEM-000033,Deliver Back-End Channels Package,Interior,Inspection,2026-01-08,2026-01-29,4.67,lot,Medium,STS-004
WIT-000034,PRJ-005,PRJ-005-ITEM-000034,Matrix Innovative Action-Items Package,Exterior,Milestone,2025-11-01,2026-02-05,332.76,hr,High,STS-004
WIT-000035,PRJ-001,PRJ-001-ITEM-000035,Envisioneer Granular Systems Package,Safety,Package,2026-01-23,2026-04-28,352.88,m2,Critical,STS-003
WIT-000036,PRJ-002,PRJ-002-ITEM-000036,Unleash Seamless E-Business Package,Structure,Task,2026-05-09,2026-06-14,230.0,m3,Low,STS-005
WIT-000037,PRJ-003,PRJ-003-ITEM-000037,Mesh Value-Added Web Services Package,Mechanical,Inspection,2026-04-12,2026-07-15,284.8,ea,Medium,STS-004
WIT-000038,PRJ-004,PRJ-004-ITEM-000038,Monetize Sticky Channels Package,Electrical,Milestone,2026-05-21,2026-05-30,58.15,lot,High,STS-005
WIT-000039,PRJ-005,PRJ-005-ITEM-000039,Embrace Sticky Schemas Package,Interior,Package,2025-08-27,2025-09-17,334.53,hr,Critical,STS-001
WIT-000040,PRJ-001,PRJ-001-ITEM-000040,Empower Front-End Metrics Package,Exterior,Task,2025-11-01,2026-01-20,283.05,m2,Low,STS-003
WIT-000041,PRJ-002,PRJ-002-ITEM-000041,Unleash Cross-Platform E-Tailers Package,Safety,Inspection,2025-12-31,2026-02-28,382.73,m3,Medium,STS-002
WIT-000042,PRJ-003,PRJ-003-ITEM-000042,Whiteboard Back-End Mindshare Package,Structure,Milestone,2026-04-25,2026-07-05,277.24,ea,High,STS-004
WIT-000043,PRJ-004,PRJ-004-ITEM-000043,Morph Scalable Infrastructures Package,Mechanical,Package,2026-04-25,2026-07-11,280.04,lot,Critical,STS-005
WIT-000044,PRJ-005,PRJ-005-ITEM-000044,E-Enable Efficient Paradigms Package,Electrical,Task,2025-12-29,2026-04-04,16.38,hr,Low,STS-002
WIT-000045,PRJ-001,PRJ-001-ITEM-000045,Facilitate End-To-End Functionalities Package,Interior,Inspection,2025-09-03,2025-10-12,218.92,m2,Medium,STS-004
WIT-000046,PRJ-002,PRJ-002-ITEM-000046,Leverage Visionary Schemas Package,Exterior,Milestone,2026-01-20,2026-05-18,204.86,m3,High,STS-005
WIT-000047,PRJ-003,PRJ-003-ITEM-000047,Brand Value-Added Initiatives Package,Safety,Package,2026-05-03,2026-06-01,426.85,ea,Critical,STS-006
WIT-000048,PRJ-004,PRJ-004-ITEM-000048,Matrix B2C Users Package,Structure,Task,2025-11-16,2025-11-24,30.09,lot,Low,STS-005
WIT-000049,PRJ-005,PRJ-005-ITEM-000049,E-Enable Out-Of-The-Box Applications Package,Mechanical,Inspection,2025-03-02,2025-04-02,141.41,hr,Medium,STS-003
WIT-000050,PRJ-001,PRJ-001-ITEM-000050,Orchestrate User-Centric Channels Package,Electrical,Milestone,2026-04-04,2026-07-23,331.3,m2,High,STS-006
WIT-000051,PRJ-002,PRJ-002-ITEM-000051,Monetize Bricks-And-Clicks Paradigms Package,Interior,Package,2025-10-27,2025-12-04,278.96,m3,Critical,STS-004
WIT-000052,PRJ-003,PRJ-003-ITEM-000052,Architect Interactive Web Services Package,Exterior,Task,2025-12-18,2026-02-19,332.49,ea,Low,STS-006
WIT-000053,PRJ-004,PRJ-004-ITEM-000053,Seize Transparent E-Business Package,Safety,Inspection,2025-11-26,2026-03-01,203.79,lot,Medium,STS-004
WIT-000054,PRJ-005,PRJ-005-ITEM-000054,Re-Contextualize Web-Enabled Communities Package,Structure,Milestone,2025-06-03,2025-07-26,84.32,hr,High,STS-004
WIT-000055,PRJ-001,PRJ-001-ITEM-000055,Matrix Transparent Web-Readiness Package,Mechanical,Package,2025-11-09,2026-02-15,12.33,m2,Critical,STS-004
WIT-000056,PRJ-002,PRJ-002-ITEM-000056,Extend Open-Source E-Markets Package,Electrical,Task,2025-12-19,2026-01-05,361.46,m3,Low,STS-005
WIT-000057,PRJ-003,PRJ-003-ITEM-000057,Cultivate Interactive Niches Package,Interior,Inspection,2026-04-19,2026-05-04,231.48,ea,Medium,STS-003
WIT-000058,PRJ-004,PRJ-004-ITEM-000058,Generate Sticky Architectures Package,Exterior,Milestone,2025-12-18,2026-03-15,251.02,lot,High,STS-007
WIT-000059,PRJ-005,PRJ-005-ITEM-000059,Iterate Collaborative E-Services Package,Safety,Package,2025-03-05,2025-03-28,77.0,hr,Critical,STS-007
WIT-000060,PRJ-001,PRJ-001-ITEM-000060,Transition Ubiquitous Convergence Package,Structure,Task,2025-11-18,2026-01-19,223.63,m2,Low,STS-003
WIT-000061,PRJ-002,PRJ-002-ITEM-000061,Transition Bleeding-Edge E-Services Package,Mechanical,Inspection,2026-02-06,2026-05-02,191.13,m3,Medium,STS-005
WIT-000062,PRJ-003,PRJ-003-ITEM-000062,Repurpose Dynamic Interfaces Package,Electrical,Milestone,2025-08-11,2025-09-12,315.51,ea,High,STS-005
WIT-000063,PRJ-004,PRJ-004-ITEM-000063,Empower Innovative Niches Package,Interior,Package,2026-02-22,2026-04-02,181.54,lot,Critical,STS-003
WIT-000064,PRJ-005,PRJ-005-ITEM-000064,Visualize Wireless Methodologies Package,Exterior,Task,2025-11-02,2026-02-25,59.88,hr,Low,STS-005
WIT-000065,PRJ-001,PRJ-001-ITEM-000065,Facilitate Proactive Initiatives Package,Safety,Inspection,2026-03-29,2026-04-13,480.99,m2,Medium,STS-002
WIT-000066,PRJ-002,PRJ-002-ITEM-000066,Reinvent Back-End Paradigms Package,Structure,Milestone,2026-01-20,2026-03-08,350.15,m3,High,STS-005
WIT-000067,PRJ-003,PRJ-003-ITEM-000067,Expedite User-Centric Convergence Package,Mechanical,Package,2025-09-13,2025-12-31,133.67,ea,Critical,STS-007
WIT-000068,PRJ-004,PRJ-004-ITEM-000068,Brand One-To-One Architectures Package,Electrical,Task,2026-02-16,2026-05-19,389.6,lot,Low,STS-003
WIT-000069,PRJ-005,PRJ-005-ITEM-000069,Aggregate Dot-Com Paradigms Package,Interior,Inspection,2026-04-26,2026-08-20,358.73,hr,Medium,STS-004
WIT-000070,PRJ-001,PRJ-001-ITEM-000070,Implement 24/365 Relationships Package,Exterior,Milestone,2026-02-18,2026-05-24,136.85,m2,High,STS-003
WIT-000071,PRJ-002,PRJ-002-ITEM-000071,Optimize Open-Source E-Business Package,Safety,Package,2026-03-27,2026-05-22,49.1,m3,Critical,STS-002
WIT-000072,PRJ-003,PRJ-003-ITEM-000072,Repurpose 24/7 Content Package,Structure,Task,2025-12-01,2026-01-26,228.43,ea,Low,STS-004
WIT-000073,PRJ-004,PRJ-004-ITEM-000073,Monetize Transparent Vortals Package,Mechanical,Inspection,2026-05-02,2026-08-18,101.98,lot,Medium,STS-004
WIT-000074,PRJ-005,PRJ-005-ITEM-000074,Scale Distributed Schemas Package,Electrical,Milestone,2025-12-12,2026-03-09,290.03,hr,High,STS-005
WIT-000075,PRJ-001,PRJ-001-ITEM-000075,Aggregate Next-Generation Web Services Package,Interior,Package,2025-10-21,2025-11-30,89.21,m2,Critical,STS-004
WIT-000076,PRJ-002,PRJ-002-ITEM-000076,Innovate Virtual E-Business Package,Exterior,Task,2026-03-07,2026-05-04,379.5,m3,Low,STS-003
WIT-000077,PRJ-003,PRJ-003-ITEM-000077,Monetize Wireless Schemas Package,Safety,Inspection,2026-03-11,2026-06-22,360.01,ea,Medium,STS-006
WIT-000078,PRJ-004,PRJ-004-ITEM-000078,Monetize Front-End E-Tailers Package,Structure,Milestone,2025-10-18,2026-01-07,314.03,lot,High,STS-004
WIT-000079,PRJ-005,PRJ-005-ITEM-000079,Generate World-Class Bandwidth Package,Mechanical,Package,2026-01-02,2026-02-25,292.46,hr,Critical,STS-002
WIT-000080,PRJ-001,PRJ-001-ITEM-000080,Grow Killer Mindshare Package,Electrical,Task,2026-02-20,2026-03-07,43.14,m2,Low,STS-006
WIT-000081,PRJ-002,PRJ-002-ITEM-000081,Generate Frictionless Web Services Package,Interior,Inspection,2026-04-12,2026-06-30,208.49,m3,Medium,STS-005
WIT-000082,PRJ-003,PRJ-003-ITEM-000082,Envisioneer Open-Source Infrastructures Package,Exterior,Milestone,2025-09-03,2025-12-07,247.5,ea,High,STS-005
WIT-000083,PRJ-004,PRJ-004-ITEM-000083,Innovate Extensible E-Services Package,Safety,Package,2026-01-17,2026-01-26,165.6,lot,Critical,STS-006
WIT-000084,PRJ-005,PRJ-005-ITEM-000084,Orchestrate Proactive Paradigms Package,Structure,Task,2025-07-07,2025-09-25,52.6,hr,Low,STS-005
WIT-000085,PRJ-001,PRJ-001-ITEM-000085,Syndicate Intuitive Bandwidth Package,Mechanical,Inspection,2025-12-06,2025-12-27,294.23,m2,Medium,STS-003
WIT-000086,PRJ-002,PRJ-002-ITEM-000086,Matrix Dynamic Architectures Package,Electrical,Milestone,2026-03-20,2026-06-24,462.63,m3,High,STS-004
WIT-000087,PRJ-003,PRJ-003-ITEM-000087,Strategize Interactive Eyeballs Package,Interior,Package,2026-02-09,2026-03-05,290.95,ea,Critical,STS-006
WIT-000088,PRJ-004,PRJ-004-ITEM-000088,Productize Sticky E-Commerce Package,Exterior,Task,2025-10-20,2025-12-15,295.87,lot,Low,STS-004
WIT-000089,PRJ-005,PRJ-005-ITEM-000089,Reinvent Plug-And-Play Markets Package,Safety,Inspection,2025-07-22,2025-09-04,12.38,hr,Medium,STS-006
WIT-000090,PRJ-001,PRJ-001-ITEM-000090,Incentivize 24/7 Bandwidth Package,Structure,Milestone,2026-04-06,2026-04-28,241.67,m2,High,STS-007
WIT-000091,PRJ-002,PRJ-002-ITEM-000091,Exploit Plug-And-Play Web Services Package,Mechanical,Package,2025-12-01,2026-03-26,391.58,m3,Critical,STS-004
WIT-000092,PRJ-003,PRJ-003-ITEM-000092,Engage Turn-Key Systems Package,Electrical,Task,2026-02-24,2026-03-08,243.84,ea,Low,STS-004
WIT-000093,PRJ-004,PRJ-004-ITEM-000093,Brand Customized Communities Package,Interior,Inspection,2026-05-02,2026-05-16,245.86,lot,Medium,STS-006
WIT-000094,PRJ-005,PRJ-005-ITEM-000094,Grow Back-End Action-Items Package,Exterior,Milestone,2026-02-06,2026-04-02,286.29,hr,High,STS-003
WIT-000095,PRJ-001,PRJ-001-ITEM-000095,Empower Holistic Functionalities Package,Safety,Package,2026-05-07,2026-08-27,237.27,m2,Critical,STS-004
WIT-000096,PRJ-002,PRJ-002-ITEM-000096,Empower Visionary Partnerships Package,Structure,Task,2026-01-11,2026-04-18,166.45,m3,Low,STS-004
WIT-000097,PRJ-003,PRJ-003-ITEM-000097,Envisioneer Web-Enabled Niches Package,Mechanical,Inspection,2026-05-06,2026-06-10,260.82,ea,Medium,STS-001
WIT-000098,PRJ-004,PRJ-004-ITEM-000098,Harness Strategic Channels Package,Electrical,Milestone,2026-02-25,2026-06-07,11.78,lot,High,STS-006
WIT-000099,PRJ-005,PRJ-005-ITEM-000099,Enhance Integrated Eyeballs Package,Interior,Package,2025-05-31,2025-07-25,413.32,hr,Critical,STS-004
WIT-000100,PRJ-001,PRJ-001-ITEM-000100,Optimize Next-Generation E-Markets Package,Exterior,Task,2025-11-24,2025-11-30,70.98,m2,Low,STS-004
WIT-000101,PRJ-002,PRJ-002-ITEM-000101,Incubate Plug-And-Play E-Markets Package,Safety,Inspection,2026-02-16,2026-06-04,277.46,m3,Medium,STS-005
WIT-000102,PRJ-003,PRJ-003-ITEM-000102,Architect Next-Generation Architectures Package,Structure,Milestone,2025-08-26,2025-10-06,336.45,ea,High,STS-007
WIT-000103,PRJ-004,PRJ-004-ITEM-000103,Iterate Enterprise Info-Mediaries Package,Mechanical,Package,2025-10-25,2025-11-11,141.34,lot,Critical,STS-002
WIT-000104,PRJ-005,PRJ-005-ITEM-000104,Seize Seamless Architectures Package,Electrical,Task,2025-02-07,2025-03-12,363.77,hr,Low,STS-003
WIT-000105,PRJ-001,PRJ-001-ITEM-000105,Incubate Magnetic Models Package,Interior,Inspection,2026-02-11,2026-05-02,384.56,m2,Medium,STS-005
WIT-000106,PRJ-002,PRJ-002-ITEM-000106,Empower User-Centric Models Package,Exterior,Milestone,2026-01-04,2026-02-14,458.09,m3,High,STS-001
WIT-000107,PRJ-003,PRJ-003-ITEM-000107,Synergize Cross-Platform Web Services Package,Safety,Package,2025-08-13,2025-08-30,115.88,ea,Critical,STS-002
WIT-000108,PRJ-004,PRJ-004-ITEM-000108,Drive Frictionless Bandwidth Package,Structure,Task,2026-03-24,2026-04-25,277.87,lot,Low,STS-004
WIT-000109,PRJ-005,PRJ-005-ITEM-000109,Re-Intermediate Proactive Interfaces Package,Mechanical,Inspection,2025-05-13,2025-05-22,186.09,hr,Medium,STS-003
WIT-000110,PRJ-001,PRJ-001-ITEM-000110,Maximize Proactive Infrastructures Package,Electrical,Milestone,2026-04-19,2026-05-29,404.32,m2,High,STS-004
WIT-000111,PRJ-002,PRJ-002-ITEM-000111,Enable Plug-And-Play Roi Package,Interior,Package,2026-03-26,2026-07-04,159.25,m3,Critical,STS-003
WIT-000112,PRJ-003,PRJ-003-ITEM-000112,Morph Enterprise Vortals Package,Exterior,Task,2025-08-21,2025-09-18,146.17,ea,Low,STS-004
WIT-000113,PRJ-004,PRJ-004-ITEM-000113,Target World-Class Supply-Chains Package,Safety,Inspection,2026-01-08,2026-05-02,258.01,lot,Medium,STS-004
WIT-000114,PRJ-005,PRJ-005-ITEM-000114,Empower Next-Generation Portals Package,Structure,Milestone,2025-11-24,2026-03-13,468.09,hr,High,STS-005
WIT-000115,PRJ-001,PRJ-001-ITEM-000115,Syndicate Vertical Users Package,Mechanical,Package,2025-10-03,2025-11-06,83.14,m2,Critical,STS-002
WIT-000116,PRJ-002,PRJ-002-ITEM-000116,Seize Magnetic Experiences Package,Electrical,Task,2025-10-31,2026-01-05,218.11,m3,Low,STS-004
WIT-000117,PRJ-003,PRJ-003-ITEM-000117,Revolutionize Revolutionary Web-Readiness Package,Interior,Inspection,2025-08-28,2025-09-07,496.2,ea,Medium,STS-006
WIT-000118,PRJ-004,PRJ-004-ITEM-000118,Aggregate Vertical E-Business Package,Exterior,Milestone,2026-01-22,2026-02-13,374.56,lot,High,STS-005
WIT-000119,PRJ-005,PRJ-005-ITEM-000119,Incentivize End-To-End Info-Mediaries Package,Safety,Package,2025-06-01,2025-09-16,445.51,hr,Critical,STS-005
WIT-000120,PRJ-001,PRJ-001-ITEM-000120,Embrace Killer Bandwidth Package,Structure,Task,2026-05-19,2026-06-18,259.91,m2,Low,STS-004
WIT-000121,PRJ-002,PRJ-002-ITEM-000121,Revolutionize Out-Of-The-Box Communities Package,Mechanical,Inspection,2026-01-18,2026-05-05,158.65,m3,Medium,STS-004
WIT-000122,PRJ-003,PRJ-003-ITEM-000122,Expedite One-To-One Communities Package,Electrical,Milestone,2026-03-25,2026-04-01,331.17,ea,High,STS-005
WIT-000123,PRJ-004,PRJ-004-ITEM-000123,Transform Proactive Content Package,Interior,Package,2026-02-15,2026-05-19,187.46,lot,Critical,STS-004
WIT-000124,PRJ-005,PRJ-005-ITEM-000124,Innovate Enterprise Interfaces Package,Exterior,Task,2026-04-26,2026-08-10,373.65,hr,Low,STS-005
WIT-000125,PRJ-001,PRJ-001-ITEM-000125,Optimize Interactive Platforms Package,Safety,Inspection,2025-11-18,2025-12-03,131.97,m2,Medium,STS-007
WIT-000126,PRJ-002,PRJ-002-ITEM-000126,Iterate 24/7 Networks Package,Structure,Milestone,2026-02-05,2026-02-10,121.24,m3,High,STS-007
WIT-000127,PRJ-003,PRJ-003-ITEM-000127,Seize Cutting-Edge Web Services Package,Mechanical,Package,2025-08-17,2025-12-07,62.26,ea,Critical,STS-004
WIT-000128,PRJ-004,PRJ-004-ITEM-000128,Optimize Cross-Platform Synergies Package,Electrical,Task,2026-03-10,2026-03-22,77.49,lot,Low,STS-004
WIT-000129,PRJ-005,PRJ-005-ITEM-000129,Transition Holistic Platforms Package,Interior,Inspection,2025-12-26,2026-04-05,90.45,hr,Medium,STS-005
WIT-000130,PRJ-001,PRJ-001-ITEM-000130,Disintermediate Ubiquitous Eyeballs Package,Exterior,Milestone,2026-02-17,2026-04-05,437.41,m2,High,STS-007
WIT-000131,PRJ-002,PRJ-002-ITEM-000131,Reinvent Real-Time E-Business Package,Safety,Package,2026-03-29,2026-06-10,99.02,m3,Critical,STS-003
WIT-000132,PRJ-003,PRJ-003-ITEM-000132,Revolutionize Compelling Bandwidth Package,Structure,Task,2026-02-27,2026-04-05,388.93,ea,Low,STS-003
WIT-000133,PRJ-004,PRJ-004-ITEM-000133,Transition Real-Time Vortals Package,Mechanical,Inspection,2026-04-05,2026-05-15,485.94,lot,Medium,STS-004
WIT-000134,PRJ-005,PRJ-005-ITEM-000134,E-Enable E-Business Niches Package,Electrical,Milestone,2025-08-12,2025-10-13,72.8,hr,High,STS-003
WIT-000135,PRJ-001,PRJ-001-ITEM-000135,Incentivize Plug-And-Play Networks Package,Interior,Package,2026-02-24,2026-04-27,7.95,m2,Critical,STS-005
WIT-000136,PRJ-002,PRJ-002-ITEM-000136,Facilitate Proactive Models Package,Exterior,Task,2026-03-07,2026-04-01,66.78,m3,Low,STS-001
WIT-000137,PRJ-003,PRJ-003-ITEM-000137,Reinvent Holistic E-Tailers Package,Safety,Inspection,2025-12-06,2026-01-06,339.15,ea,Medium,STS-004
WIT-000138,PRJ-004,PRJ-004-ITEM-000138,Exploit Back-End Supply-Chains Package,Structure,Milestone,2026-03-04,2026-06-28,253.66,lot,High,STS-004
WIT-000139,PRJ-005,PRJ-005-ITEM-000139,Matrix Efficient Schemas Package,Mechanical,Package,2025-09-08,2025-09-27,347.44,hr,Critical,STS-004
WIT-000140,PRJ-001,PRJ-001-ITEM-000140,Mesh Dynamic Infrastructures Package,Electrical,Task,2025-09-05,2025-12-07,100.69,m2,Low,STS-007
WIT-000141,PRJ-002,PRJ-002-ITEM-000141,Drive Transparent Models Package,Interior,Inspection,2026-01-12,2026-03-24,402.26,m3,Medium,STS-004
WIT-000142,PRJ-003,PRJ-003-ITEM-000142,Engineer Web-Enabled Info-Mediaries Package,Exterior,Milestone,2026-03-05,2026-03-12,369.75,ea,High,STS-004
WIT-000143,PRJ-004,PRJ-004-ITEM-000143,Grow Vertical Infrastructures Package,Safety,Package,2026-04-26,2026-07-22,66.4,lot,Critical,STS-005
WIT-000144,PRJ-005,PRJ-005-ITEM-000144,Enhance Wireless Action-Items Package,Structure,Task,2025-09-19,2025-11-12,463.85,hr,Low,STS-004
WIT-000145,PRJ-001,PRJ-001-ITEM-000145,Repurpose Out-Of-The-Box Info-Mediaries Package,Mechanical,Inspection,2025-12-29,2026-01-17,199.39,m2,Medium,STS-005
WIT-000146,PRJ-002,PRJ-002-ITEM-000146,Mesh Cross-Media E-Commerce Package,Electrical,Milestone,2026-05-13,2026-09-06,244.8,m3,High,STS-007
WIT-000147,PRJ-003,PRJ-003-ITEM-000147,Engage Open-Source Convergence Package,Interior,Package,2026-05-18,2026-06-26,331.77,ea,Critical,STS-004
WIT-000148,PRJ-004,PRJ-004-ITEM-000148,Empower Extensible Portals Package,Exterior,Task,2026-04-12,2026-05-23,143.94,lot,Low,STS-004
WIT-000149,PRJ-005,PRJ-005-ITEM-000149,Embrace Dynamic Vortals Package,Safety,Inspection,2025-08-01,2025-11-23,462.48,hr,Medium,STS-007
WIT-000150,PRJ-001,PRJ-001-ITEM-000150,Extend Viral Solutions Package,Structure,Milestone,2025-10-18,2025-12-19,278.04,m2,High,STS-003
WIT-000151,PRJ-002,PRJ-002-ITEM-000151,Extend Compelling Niches Package,Mechanical,Package,2026-01-03,2026-01-10,317.35,m3,Critical,STS-003
WIT-000152,PRJ-003,PRJ-003-ITEM-000152,Benchmark Front-End Platforms Package,Electrical,Task,2026-05-10,2026-08-19,71.03,ea,Low,STS-004
WIT-000153,PRJ-004,PRJ-004-ITEM-000153,Envisioneer Bleeding-Edge Relationships Package,Interior,Inspection,2026-01-01,2026-01-18,210.14,lot,Medium,STS-004
WIT-000154,PRJ-005,PRJ-005-ITEM-000154,Monetize Value-Added Users Package,Exterior,Milestone,2025-06-22,2025-06-27,298.43,hr,High,STS-007
WIT-000155,PRJ-001,PRJ-001-ITEM-000155,Empower Revolutionary Markets Package,Safety,Package,2025-10-21,2026-02-14,466.58,m2,Critical,STS-007
WIT-000156,PRJ-002,PRJ-002-ITEM-000156,Envisioneer End-To-End Functionalities Package,Structure,Task,2026-05-13,2026-08-10,234.22,m3,Low,STS-005
WIT-000157,PRJ-003,PRJ-003-ITEM-000157,Synthesize Sticky Synergies Package,Mechanical,Inspection,2026-05-21,2026-08-26,392.6,ea,Medium,STS-004
WIT-000158,PRJ-004,PRJ-004-ITEM-000158,Envisioneer Collaborative Info-Mediaries Package,Electrical,Milestone,2026-05-28,2026-09-07,55.46,lot,High,STS-005
WIT-000159,PRJ-005,PRJ-005-ITEM-000159,Facilitate Viral Markets Package,Interior,Package,2026-01-11,2026-01-18,414.88,hr,Critical,STS-004
WIT-000160,PRJ-001,PRJ-001-ITEM-000160,Cultivate Compelling Initiatives Package,Exterior,Task,2025-12-09,2026-01-11,117.09,m2,Low,STS-001
WIT-000161,PRJ-002,PRJ-002-ITEM-000161,Strategize Holistic Partnerships Package,Safety,Inspection,2025-11-05,2026-02-09,265.85,m3,Medium,STS-006
WIT-000162,PRJ-003,PRJ-003-ITEM-000162,Whiteboard Scalable Eyeballs Package,Structure,Milestone,2026-03-14,2026-06-14,434.0,ea,High,STS-005
WIT-000163,PRJ-004,PRJ-004-ITEM-000163,Exploit Seamless Infrastructures Package,Mechanical,Package,2025-12-14,2026-02-26,301.95,lot,Critical,STS-005
WIT-000164,PRJ-005,PRJ-005-ITEM-000164,Embrace Next-Generation Metrics Package,Electrical,Task,2025-08-14,2025-09-21,187.72,hr,Low,STS-004
WIT-000165,PRJ-001,PRJ-001-ITEM-000165,Generate Magnetic Deliverables Package,Interior,Inspection,2026-04-21,2026-06-12,213.52,m2,Medium,STS-003
